run_id,scenario,variant,module,n,mean_ms,p50_ms,p95_ms
20260422_164053_meeting_full,meeting,full,frame_total,,,,
20260422_164053_meeting_full,meeting,full,graph_update,,,,
20260422_164053_meeting_full,meeting,full,groundingdino_predict,,,,
20260422_164053_meeting_full,meeting,full,instance_gng_update,,,,
20260422_164053_meeting_full,meeting,full,place_gng_update,,,,
20260422_164053_meeting_full,meeting,full,pose_association,,,,
20260422_164053_meeting_full,meeting,full,sam_predict,,,,
20260422_164059_meeting_full,meeting,full,frame_total,,,,
20260422_164059_meeting_full,meeting,full,graph_update,,,,
20260422_164059_meeting_full,meeting,full,groundingdino_predict,,,,
20260422_164059_meeting_full,meeting,full,instance_gng_update,,,,
20260422_164059_meeting_full,meeting,full,place_gng_update,,,,
20260422_164059_meeting_full,meeting,full,pose_association,,,,
20260422_164059_meeting_full,meeting,full,sam_predict,,,,
20260422_164138_meeting_full,meeting,full,frame_total,350,4604.474072655264,5686.4440679783,6649.775877106004
20260422_164138_meeting_full,meeting,full,graph_update,182,28.30007084092678,27.709676884114742,55.37924658274278
20260422_164138_meeting_full,meeting,full,groundingdino_predict,350,2731.3793616276234,2754.433123045601,2921.317593869753
20260422_164138_meeting_full,meeting,full,instance_gng_update,202,10.275358957754872,0.3042310709133744,23.03826390998438
20260422_164138_meeting_full,meeting,full,place_gng_update,350,17.27064703657691,21.719168056733906,22.689589823130518
20260422_164138_meeting_full,meeting,full,pose_association,302,7.4430092874704705,1.7565259477123618,20.753283926751465
20260422_164138_meeting_full,meeting,full,sam_predict,187,268.0304800683164,249.5424400549382,401.53307132422924
